tweetid,sentiment,followers_count,favourites_count,verified,statuses_count,timestamp_ms,text,borough,party
We'll cap the total amount that can be charged in overdraft fees or interest payments so that no borrower will ever pay back more in interest or charges than they initially borrowed.

https://t.co/6f5QK8GpzP,NULL,NULL
13,-0.7851,2858,14408,False,71722,1525179445192,Labour capitulation over Welsh powers to Westminster gets worse by the day as Labour in Scotland reject Tories. Labour are not fit to be the government of Wales,NULL,NULL
14,0.7147,1058,212,False,9974,1525179445421,"@James_J_Marlow 14 buildings which are libraries in name only. When I visit a library I want to see librarians, not security guards. I want to browse a range of books, not just the 'most popular' ones &amp; for young people to have free access for study.",NULL,NULL
15,0.4767,1623,11989,False,60166,1525179445761,So much for #Tory respect pledge https://t.co/N7FB0UL3Ea,NULL,NULL
16,0,1518,155573,False,101464,1525179445922,"If the Tories really are ahead of Labour, (and almost all the polls say that they are now), and if Labour really is as as far ahead in London as the polls say they are, what must be happening to the Labour vote outside London.",NULL,NULL
17,0.8469,1577,21197,False,33980,1525179921404,@jeremycorbyn @theresa_may MAYDAY!! MAYDAY!!! Save your community this Thursday May 3 and #VoteLabour
If Labour Win Barnet or Wandsworth it’s the end for Theresa May!!! Our communities have been decimated by the Tories ‘Enough is Enough’
#MAYDAY
https://t.co/WTKXoJX47i,NULL,NULL
18,0.5994,212,8669,False,7574,1525179923126,"Given its local election week, worth noting Facebook engagement rates for past 7 days: 

@LeaveEUOfficial: 337k
Labour: 77k
Conservatives: 51k
Momentum: 50k
UKIP: 22k
LibDems: 11k",NULL,NULL
19,-0.7964,1309,39918,False,59614,1525179927096,"Another racist Tory candidate suspended over claims of Islamophobia 

David Boston was standing for election to the borough council in Enfield, London 

#ToriesOut #EnoughIsEnough #ToryRacism #LocalElections2018 https://t.co/JgOxeXlMBy",NULL,NULL
20,-0.1779,1556,58577,False,117603,1525179928837,I was campaigning in Thurrock this morning ahead of the local elections.

We need to send an unmistakable message to @Theresa_May's weak and divided Government on Thursday.

Find out where you can join us campaigning and make the biggest difference: https://t.co/ttbxg2H0ai https://t.co/GZlZvPufO1,NULL,NULL
21,0.875,1366,283,False,5260,1525179929037,"London's small businesses, start-ups and entrepreneurs are at the heart of our economy &amp; communities. Great response from Lambeth businesses ahead of Thursday's elections for  @LambethLabour plans to support them to innovate &amp; grow. #VoteLabour ?? https://t.co/3mBH1qOm1t",NULL,NULL
22,0,665,32989,False,12700,1525179930339,Sadiq Khan as Labour Leader Vs Sajid Javid as Conservative leader in the next UK General Election.

How about that for a choice.... https://t.co/60gQdONEup,NULL,NULL
23,0,3266,50259,False,44876,1525179931197,RT @domformayor: 5/1/2018 - Election Day - Polling places are open from 6 AM - 7 PM #newportnews #LocalElections #Hampton,NULL,NULL
24,-0.6908,719,62215,False,41045,1525179931235,"There is a hostile environment for everyone in the UK -Windrush, Grenfell,PIP, bedroom tax, utility rises, Universal Credit, WASPI Women, NHS, GP surgeries closing, council tax rises, prescription charge rise, ATOS, CAPITA,G4S, Rape Clause, ESA + more. 3 days to local elections. https://t.co/AtsM7jLkwT",NULL,NULL
25,0.8176,1334,4036,False,4807,1525179931229,RT @HackneyAbbott: Happy #MayDay
Let's unite to get the #ToriesOut &amp; win @JeremyCorbyn4PM for a New Deal for Working People
#VoteLabour htt…,NULL,NULL
26,-0.7184,305,21924,False,28013,1525179931797,"The front page of today's @EveningStandard tells us Theresa May blocked visas for #NHS doctor's coming from overseas to work in our health service, that's the kind of PM we have, anybody who votes tory at #LocalElections2018 is endorsing this wretched woman's cruelty #VoteLabour",NULL,NULL
27,-0.4956,41,2036,False,538,1525179931986,Local elections have historically low voter turnout despite the importance of these positions. For many in Virginia today is the day too make your voice heard. And if you're in Norfolk Ward 1 check out #CarryForNorfolkSchoolBoard She will #CarryNorfolkForward #VOTE,NULL,NULL
28,0.5994,265,8,False,26896,1525179933922,"Given its local election week, worth noting Facebook engagement rates for past 7 days: 

@LeaveEUOfficial: 337k
Labour: 77k
Conservatives: 51k
Momentum: 50k
UKIP: 22k
LibDems: 11k",NULL,NULL
29,-0.1779,1028,2790,False,55085,1525179934496,I was campaigning in Thurrock this morning ahead of the local elections.

We need to send an unmistakable message to @Theresa_May's weak and divided Government on Thursday.

Find out where you can join us campaigning and make the biggest difference: https://t.co/ttbxg2H0ai https://t.co/GZlZvPufO1,NULL,NULL
30,-0.7184,879,62858,False,29299,1525179934575,"The front page of today's @EveningStandard tells us Theresa May blocked visas for #NHS doctor's coming from overseas to work in our health service, that's the kind of PM we have, anybody who votes tory at #LocalElections2018 is endorsing this wretched woman's cruelty #VoteLabour",NULL,NULL
31,0.9068,2296,259,False,8002,1525179936087,Thank you to Hayley Taggart for her endorsement for the forthcoming local elections on 3rd May. Hayley is so passionate about supporting local families through her leadership at Bambino's Nursery. #teamtariq #labour #3rdMay https://t.co/z84NK1HMxA https://t.co/mgf6oYfjOg,NULL,NULL
32,0.0772,150,698,False,681,1525179937158,"#OTD 1997. Labour Landslide. On a swing of 8.8%, Labour win 418 seats giving Blair a majority of 179. In their worst election defeat since 1906 the Tories retain just 165 MPs, with their smallest share of the vote since 1832. Blair becomes the youngest PM of the century. https://t.co/24Iz27VHN8",NULL,NULL
33,0.34,133,16677,False,9080,1525179938028,RT @politicshome: Public confidence in Jeremy Corbyn plummets as local elections loom

https://t.co/MkO2AtiNpG,NULL,NULL
34,0,791,7839,False,64418,1525179939851,@adrianartn I see there're local elections ahead. What do you expect?,NULL,NULL
35,-0.9032,3238,10727,False,8086,1525179940509,"From the crises in our schools, NHS and housing, to cuts to youth services and the Windrush scandal, the Tories are failing the people of our country.

#VoteLabour on Thursday to send this heartless Government an unmistakable message. https://t.co/TUCvdIcglg",NULL,NULL
36,0.8955,3706,2,True,13926,1525179940706,"Out on the #LabourDoorstep in Harborne for our second campaign session of the day! Delighted to be joined by three great friends: @WestMidsPCC David Jamieson, West Midlands MEP @NeenaGmep, and UNISON West Midlands Regional Secretary @RaviSubbie. #LoveHarborne ?? #VoteLabour? https://t.co/PcWE8B1Bhe",NULL,NULL
37,0,758,12128,False,19250,1525179941920,"@SarahKHolford @48PercentPlus @YourTotalEvent @WimbledonNews Plus 52% voted for Brexit, but that aside these are local elections and those who end up as Councillors will make local decisions, not decisions at Cabinet level.",NULL,NULL
38,0.8955,3706,2,True,13927,1525179943542,"Out on the #LabourDoorstep in Harborne for our second campaign session of the day! Delighted to be joined by three great friends: @WestMidsPCC David Jamieson, West Midlands MEP @NeenaGmep, and UNISON West Midlands Regional Secretary @RaviSubbie. #LoveHarborne ?? #VoteLabour? https://t.co/PcWE8B1Bhe",NULL,NULL
39,0.8225,28146,181,False,144435,1525179944519,21 years ago today the most incredible election result of my lifetime took place. Tony Blair remains the only Labour leader since 1974 to win a general election and the only Labour leader in history to win 2 and then 3 full terms.,NULL,NULL
40,-0.7184,859,31570,False,35585,1525179951048,"The front page of today's @EveningStandard tells us Theresa May blocked visas for #NHS doctor's coming from overseas to work in our health service, that's the kind of PM we have, anybody who votes tory at #LocalElections2018 is endorsing this wretched woman's cruelty #VoteLabour",NULL,NULL
41,0.6597,2181,16845,False,19269,1525179952327,"@StuartBudd1 In 2014 UKIP managed to take 150 seats off both Labour and Tory Parties in local elections. Because of that vote David Cameron gave us the EU Referendum in 2016. If UKIP can do it, so can Remain. #ABTV send both parties a message - if you don’t back remain, I won’t vote for you.",NULL,NULL
42,-0.1425,2703,173933,False,207333,1525179952247,"@britainelects @ICMResearch The relentless battery of media attacks is having an impact. If more #Labour supporters don’t volunteer to knock on doors this Thursday, Labour will not make gains. https://t.co/bLhz2fnGXD
#JC4PM #JezWeCan #VoteLABOUR #ToriesOUT #VoteLabourMay3rd #BlairitesOUT #CORBYN #FOrTheMany",NULL,NULL
43,-0.3956,1154,39276,False,35811,1525179956243,This is Unbelievable. Tory Candidate states on election leaflet that Labour brought Hepititis to Dudley area !!! This is how Bizarre and unscrupulous the Tories actually are .If your planning on voting for them check in with your doctor first ! https://t.co/CUu96078ag,NULL,NULL
44,-0.4956,86183,61195,False,3225,1525179956321,Local elections have historically low voter turnout despite the importance of these positions. For many in Virginia today is the day too make your voice heard. And if you're in Norfolk Ward 1 check out #CarryForNorfolkSchoolBoard She will #CarryNorfolkForward #VOTE,NULL,NULL
45,-0.8225,442,17824,False,10115,1525179956431,"I’m currently in a shitehole where gardens are filthy, streets dirty, dog shit on pavements, graffiti everywhere and everyone walking around looking miserable. It won’t surprise you to know there are vote @uklabour signs everywhere. Vote labour get a shithole #councilelections",NULL,NULL
46,0,329,53335,False,43502,1525179956555,"#Dodgy referendum, #dodgy campaign,  #dodgy electoral process, #dodgy backers/funders, #dodgy outcome, #dodgy politics, #dodgy with ‘impact’ reports, #dodgy #EU Bill in parliament, #dodgy politicians/ministers and a #dodgy party... - #StopBrexit #FBPE #LE2018 #Remain",NULL,NULL
47,0.7579,228,8777,False,14800,1525179960548,"Happy International Workers’ day everyone. In the UK only @UKLabour will deliver strengthened workers’ and trade union rights, minimum wage of £10 per hr, an end to precarious employment, investment in jobs and industry. #VoteLabour #JC4PM https://t.co/sAejhCu9vZ",NULL,NULL
48,-0.7184,79,5298,False,5262,1525179961948,"If this govt can attempt to get away with what they have done to the #WindrushGeneration - deporting British citizens, denying healthcare, conveniently destroying papers...let us not for one minute believe that they would not do the same to any one of us.

#LocalElections2018",NULL,NULL
49,-0.4767,348,17631,False,18295,1525179963069,RT @MirrorPolitics: Tory candidate suspended after leaflet claimed Labour had 'delivered hepatitis'

https://t.co/c6XdkUV5JB https://t.co/E…,NULL,NULL
50,0.8955,244,288,False,898,1525179967064,"Out on the #LabourDoorstep in Harborne for our second campaign session of the day! Delighted to be joined by three great friends: @WestMidsPCC David Jamieson, West Midlands MEP @NeenaGmep, and UNISON West Midlands Regional Secretary @RaviSubbie. #LoveHarborne ?? #VoteLabour? https://t.co/PcWE8B1Bhe",NULL,NULL
51,-0.1779,1910,3577,False,142399,1525179968575,I was campaigning in Thurrock this morning ahead of the local elections.

We need to send an unmistakable message to @Theresa_May's weak and divided Government on Thursday.

Find out where you can join us campaigning and make the biggest difference: https://t.co/ttbxg2H0ai https://t.co/GZlZvPufO1,NULL,NULL
52,-0.2263,5263,128026,False,142286,1525179969131,"If any of us know someone who is undecided about their vote on Thursday.............
Talk to them, &amp; show them this.
#VoteLabourMay3rd https://t.co/vmcaxZPKJP",NULL,NULL
53,0.4559,7144,14627,False,9522,1525179971263,Make sure you go out and vote today! Local elections matter just as much as our federal elections! Find your local polling place here https://t.co/clynD1cDBx #GOTV #Tennessee https://t.co/mkENs6gPdR,NULL,NULL
54,0.1306,765,21520,False,8174,1525179973462,. @UKLabour supporters who are anti Brexit need to get their heads round the fact that there is no 'long game'. Corbyn is as pro Brexit as Rees-Mogg and Gove. If you vote Labour in the local elections you are not fighting Brexit you are aiding it. #StopBrexit https://t.co/bqOADBEPfj,NULL,NULL
55,-0.4767,1556,58578,False,117605,1525179975787,RT @MirrorPolitics: Tory candidate suspended after leaflet claimed Labour had 'delivered hepatitis'

https://t.co/c6XdkUV5JB https://t.co/E…,NULL,NULL
56,0.8225,7506,86191,False,133986,1525179977126,21 years ago today the most incredible election result of my lifetime took place. Tony Blair remains the only Labour leader since 1974 to win a general election and the only Labour leader in history to win 2 and then 3 full terms.,NULL,NULL
57,0.7506,132,128,False,538,1525179978891,"Only 2 days until local elections. On Thursday May 3rd #VoteLibDem to elect councillors who will work for safer communities, better public services, and cleaner streets and parks. #LocalElections #LocalElection2018 https://t.co/DtjBvWqdDy",NULL,NULL
58,-0.5859,736,11870,False,26832,1525179978965,RT @jessbrammar: NEW: Tory candidate suspended after election leaflet claims Labour brought Hepatitis to the local area. Seriously. https:/…,NULL,NULL
59,0,16268,531,True,47758,1525179980063,This is what you'll be voting for on Thursday in North East Lincolnshire #LocalElections2018 https://t.co/uX1GmMyn0b,NULL,NULL
60,0.6597,3108,45477,False,18633,1525179981021,#The3MillionVote
Greenwich @Renew_Britain candidate Ziaur Rahman pledges to support EU citizens locally throughout the Brexit process. 
#LE2018

Are you a local candidate? You too can pledge to support EU citizens locally here:
https://t.co/Ls2AL4viVn https://t.co/El5omi3RFD,NULL,NULL
61,0.552,136,22,False,1580,1525179985796,Uber is offering free rides for disabled people on local elections polling day https://t.co/lUdTs4PkEZ #urtv,NULL,NULL
62,-0.3327,649,36,False,73578,1525179986932,This week's local elections in England will be the last time that 3 million EU citizens can vote in the UK. Labour &amp; LibDems will lose vote share from 2019 onwards. This may explain why Labour &amp; LibDem Lords are trying so hard to scupper Brexit.,NULL,NULL
63,-0.552,1822,26973,False,70408,1525179987818,"Don't make the mistake of thinking #Brexit is only an issue for central Govt. If tax revenues dive, local spending will be cut &amp; public services will suffer even more.

#ABTV: Vote against Brexit on May 3
Vote pro-EU: #Greens #LibDems #Renew
#MayDay #LocalElections2018 #VoteEU https://t.co/eRjDQZS2cf",NULL,NULL
64,0.8225,252,15579,False,11994,1525179992711,21 years ago today the most incredible election result of my lifetime took place. Tony Blair remains the only Labour leader since 1974 to win a general election and the only Labour leader in history to win 2 and then 3 full terms.,NULL,NULL
65,0,432,211,False,566,1525179995048,"we're just days away from the local elections. here's five reasons to vote for me, and more widely @KingstonLibDems, in the @RBKingston elections on May 3rd. https://t.co/8RhENCIL6Q",NULL,NULL
66,0.4019,5432,68564,False,133484,1525179995192,On Thursday 3/5/18 #LE2018 #Vote one #Remain party or Independent only.
-- #StopBrexit #FBPE #WATON #ABTV #The3MillionVote #PeoplesVote #LocalElections2018 #EU #FinalSay #MayMustGo #BrexitShambles #Democracy #StopBrexitSaveBritain #Remainers #FinalSay #1stMay #stopbrexit2018 https://t.co/PPO96LFk1B,NULL,NULL
67,-0.3327,549,17567,False,16434,1525179996592,This week's local elections in England will be the last time that 3 million EU citizens can vote in the UK. Labour &amp; LibDems will lose vote share from 2019 onwards. This may explain why Labour &amp; LibDem Lords are trying so hard to scupper Brexit.,NULL,NULL
68,-0.7184,1028,2790,False,55087,1525179998899,"The front page of today's @EveningStandard tells us Theresa May blocked visas for #NHS doctor's coming from overseas to work in our health service, that's the kind of PM we have, anybody who votes tory at #LocalElections2018 is endorsing this wretched woman's cruelty #VoteLabour",NULL,NULL
69,-0.7506,7506,86192,False,133987,1525180000625,"Remainers, stop sodding about and vote for an anti brexit party in the local elections on the 4th of may.

Stop with the stupid excuses of ""you'll just let the tories in"". The tories are already in and they will still be in whoever you vote for, its not a GE.",NULL,NULL
70,-0.7184,2740,49221,False,93729,1525180001006,"The front page of today's @EveningStandard tells us Theresa May blocked visas for #NHS doctor's coming from overseas to work in our health service, that's the kind of PM we have, anybody who votes tory at #LocalElections2018 is endorsing this wretched woman's cruelty #VoteLabour",NULL,NULL
71,0,1333,4602,False,4924,1525180002360,"It’s not too late to return your postal ballot pack for the upcoming local elections, you can either post it or bring it to Trafford Town Hall and use our postal ballot box located in the reception area.",NULL,NULL
72,0.4404,28208,8572,True,48486,1525180004250,"At this stage in Parliament, #Labour should be around 10 points ahead if they are to have any hope of forming a Government at the next General Election........ https://t.co/kF0ErZxQwt",NULL,NULL
73,0.6342,9242,76125,False,186145,1525180004896,"We do not live in a Constitutional Republic any more. We live in a state of soft tyranny. You may not like it but it's true. We vote, but the state runs us, we don't run it. Our Government redistributes our wealth in a way that is criminal, and we do nothing to stop it.",NULL,NULL
74,-0.3595,51,82,False,787,1525180005303,RT @Fionafof: There's no such thing as a too big #VoteLabour sign! 
#VoteLabourMay3rd 
@richmondclp @twickenhamclp https://t.co/7u6eYehrpu,NULL,NULL
75,-0.7684,50,10,False,138,1525180005984,"@CreativesInc @Lollyrocker @SnowdenFlood @SaveCressingham I'm a Green candidate, but a former Labour member, and I'd vote for Corbyn in a General Election. These @LambethLabour jokers aren't Corbyn fans though, they're the worst sort of unreconstructed Blairites, whose ""pragmatic"" policies are mostly alienating the local working class.",NULL,NULL
76,-0.34,2176,542,False,33313,1525180008949,Local Government Elections: who should be worrying? https://t.co/pa6hSsiZ7a #ukeconomy,NULL,NULL
77,0,401,6937,False,21191,1525180009797,This entire thread. Now get out and #VOTE!
https://t.co/xzCUdw6HXS,NULL,NULL
78,0.6597,2181,16846,False,19271,1525180013474,"@JamesMelville @18ClarendonSq In 2014 UKIP managed to take 150 seats off both Labour and Tory Parties in local elections. Because of that vote David Cameron gave us the EU Referendum in 2016. If UKIP can do it, so can Remain. #ABTV send both parties a message - if you don’t back remain, I won’t vote for you.",NULL,NULL
79,0.5255,1163,908,False,3001,1525180013860,"London's local elections are happening THIS THURSDAY - we think #childpoverty should be top of any candidates' agenda. Make sure your candidates have looked at our manifesto, and above all, #useyourvote! #LE2018 https://t.co/2GBNt0EKmx https://t.co/G6JTlJhXwC",NULL,NULL
80,0.7506,1854,50708,False,48720,1525180014068,"Only 2 days until local elections. On Thursday May 3rd #VoteLibDem to elect councillors who will work for safer communities, better public services, and cleaner streets and parks. #LocalElections #LocalElection2018 https://t.co/DtjBvWqdDy",NULL,NULL
81,0.6932,409,6620,False,8536,1525180014687,"SHARE THIS: Thursday is local elections! Find your polling station and get ready to vote Labour for the many, not the few: https://t.co/oyrFdflaBg https://t.co/sOloRMJSqo",NULL,NULL
82,-0.4404,252,20898,False,37027,1525180020947,"People are suffering under this heartless, hopeless Tory Government.
Now is the time to send Theresa May and her party a message.
Join the millions of people getting ready to #VoteLabour this Thursday. 

Hear these stories and pass them on ? https://t.co/9zYHQzDTEl",NULL,NULL
83,0,87,62843,False,82316,1525180021309,It's #ElectionDay in Virginia! Several key races are being held today in Hampton Roads. #10OnYourSide has your complete voter guide https://t.co/aZxABkFea7,NULL,NULL
84,-0.3612,62,15,False,3506,1525180023315,Local elections are today get out and vote you can’t complain if you don’t… https://t.co/FNZNQCHIQt,NULL,NULL
85,-0.4404,2348,183786,False,149328,1525180025705,"People are suffering under this heartless, hopeless Tory Government.
Now is the time to send Theresa May and her party a message.
Join the millions of people getting ready to #VoteLabour this Thursday. 

Hear these stories and pass them on ? https://t.co/9zYHQzDTEl",NULL,NULL
86,0.6597,2181,16846,False,19272,1525180028277,"@courty1793 @LitChick79 @LibDems @TheGreenParty @Renew_Britain In 2014 UKIP managed to take 150 seats off both Labour and Tory Parties in local elections. Because of that vote David Cameron gave us the EU Referendum in 2016. If UKIP can do it, so can Remain. #ABTV send both parties a message - if you don’t back remain, I won’t vote for you.",NULL,NULL
87,0.4404,3526,71554,False,304163,1525180028572,"At this stage in Parliament, #Labour should be around 10 points ahead if they are to have any hope of forming a Government at the next General Election........ https://t.co/kF0ErZxQwt",NULL,NULL
88,0.7964,2102,14939,False,69704,1525180029080,"The best “unmistakable message to @Theresa_May's weak and divided Government” you could send, would be to respect the majority of @UKLabour members, support a #PeoplesVote and #StopBrexit instead of trying to realise your quasi-Marxist delusions. https://t.co/IUNDUv8m5G",NULL,NULL
89,0.8883,247,4995,False,30199,1525180029343,"???Vote for Ziaur Rahman in #LE2018
?Career in UK charity sector
????11 year volunteer UK Army Reserve
??Local Resident, recognising local issues
??Will build strong, fair community
??Will rejuvenate public services
?Renew Approved! 
#WoolwichCommon #Greenwich #RenewLocals https://t.co/0pHMPHUp6G",NULL,NULL
90,0.128,1745,1083,False,1976,1525180032281,Worth remembering the difference between Greens and Labour in the 2015 General Election. Some things hard to change... #WindrushJustice @WhyToVoteGreen https://t.co/IfY5hPoxpN,NULL,NULL
91,-0.1027,667,17836,False,18065,1525180035599,"Swansea University, found that 6,500 fake Twitter accounts had been tweeting messages of support for Labour Leader Jeremy Corbyn in the run-up to the election. @SixieGames  https://t.co/t1dYfKpNJp",NULL,NULL
92,0.7269,58,11398,False,3969,1525180035728,"Very happy labour’s day to all BJP IT cell workers. You dedicated your day and night to BJP. Without your abuses, fake news, propaganda, hatred etc.. we can't win a single election. . 
Thanks a lot.
#MayDay #LabourDay",NULL,NULL
93,-0.6908,5610,3806,False,112603,1525180041146,"There is a hostile environment for everyone in the UK -Windrush, Grenfell,PIP, bedroom tax, utility rises, Universal Credit, WASPI Women, NHS, GP surgeries closing, council tax rises, prescription charge rise, ATOS, CAPITA,DWP, Rape Clause, ESA + more 3 days to local elections. https://t.co/QhNKZqCYxS",NULL,NULL
94,0.8469,1356,80,False,402,1525180041997,@jeremycorbyn @theresa_may MAYDAY!! MAYDAY!!! Save your community this Thursday May 3 and #VoteLabour
If Labour Win Barnet or Wandsworth it’s the end for Theresa May!!! Our communities have been decimated by the Tories ‘Enough is Enough’
#MAYDAY
https://t.co/WTKXoJX47i,NULL,NULL
95,0.4019,459,66,False,814,1525180044442,Interested in our plans for #Plymouth? Have a look at our manifesto for the #LocalElections2018 

https://t.co/9AV2CtjLya,NULL,NULL
96,0,138,7721,False,2740,1525180046359,Sadiq Khan as Labour Leader Vs Sajid Javid as Conservative leader in the next UK General Election.

How about that for a choice.... https://t.co/60gQdONEup,NULL,NULL
97,0.5719,258,317,False,1595,1525180048341,RT @JeremyCorbyn4PM: Happy May Day to everyone. 
Workers of the world unite. 

#VoteLabour this Thursday https://t.co/1eVbUgTKee,NULL,NULL
98,0.6597,2181,16846,False,19273,1525180049974,"@Paul1Singh @MaldenSaboteur In 2014 UKIP managed to take 150 seats off both Labour and Tory Parties in local elections. Because of that vote David Cameron gave us the EU Referendum in 2016. If UKIP can do it, so can Remain. #ABTV send both parties a message - if you don’t back remain, I won’t vote for you.",NULL,NULL
99,0.6597,2594,10437,False,33510,1525180055162,"@JamesMelville @18ClarendonSq In 2014 UKIP managed to take 150 seats off both Labour and Tory Parties in local elections. Because of that vote David Cameron gave us the EU Referendum in 2016. If UKIP can do it, so can Remain. #ABTV send both parties a message - if you don’t back remain, I won’t vote for you.",NULL,NULL
100,0.4534,3292,7636,False,7189,1525180055729,"??Tennessee??

It is #ElectionDay so make sure you get out and VOTE??

Local elections matter! School board, county commissioners, and county executives need #gunsense too??
#GOTV #tnleg @MomsDemand https://t.co/Kc1PKoDkqa",NULL,NULL
101,-0.7888,2740,49223,False,93731,1525180056777,“@theresa_may vetoed cabinet pleas over visas for NHS Doctors”

She really is a nasty piece of work. 

I hope with all my being that this Thursday is so disastrous for the @CONservatives that they turn on her and force her to quit. 

#ToriesOUT #VoteLabour,NULL,NULL
102,0.0772,150,698,False,681,1525180058209,"#OTD 1997. Labour Landslide. On a swing of 8.8%, Labour win 418 seats giving Blair a majority of 179. In their worst election defeat since 1906 the Tories retain just 165 MPs, with their smallest share of the vote since 1832. Blair becomes the youngest PM of the century. https://t.co/24Iz27VHN8",NULL,NULL
103,-0.6249,1696,3890,False,10968,1525180060679,Labour councils build five times more council homes than Conservative councils and get 50% more homes of all types built.

To fix the housing crisis we need more Labour councillors and more Labour councils elected on Thursday.

#VoteLabour https://t.co/mnbgOeWeS0,NULL,NULL
104,0,26,615,False,1403,1525180062524,"“When @jeremyCorbyn was seven years old, the family moved to Pave Lane in Shropshire, where his father bought Yew Tree Manor, a 17th-century farmhouse which was once part of the Duke of Sutherland's Lilleshall estate.”

@sajidjavid’s dad drove a bus.

#VoteConservative https://t.co/es5PyXC4Vc",NULL,NULL
105,0,107,6296,False,14609,1525180062683,RT @TheNewEuropean: Where are local elections taking place on May 3rd? https://t.co/QKOLm5ScMB,NULL,NULL
106,-0.5859,1340,47056,False,65566,1525180063060,RT @jessbrammar: NEW: Tory candidate suspended after election leaflet claims Labour brought Hepatitis to the local area. Seriously. https:/…,NULL,NULL
107,0.7506,459,66,False,815,1525180066005,"Only 2 days until local elections. On Thursday May 3rd #VoteLibDem to elect councillors who will work for safer communities, better public services, and cleaner streets and parks. #LocalElections #LocalElection2018 https://t.co/DtjBvWqdDy",NULL,NULL
108,0.765,18796,28681,False,265123,1525180067767,Conservatives and American loving patriots must use our voting power. Vote your local elections too. They do not offer their political party in their ads as they say city elections are bipartisan. DO NOT BELIEVE THAT. https://t.co/o6hz1if9py,NULL,NULL
109,-0.7964,2703,173933,False,207339,1525180069577,"Another racist Tory candidate suspended over claims of Islamophobia 

David Boston was standing for election to the borough council in Enfield, London 

#ToriesOut #EnoughIsEnough #ToryRacism #LocalElections2018 https://t.co/JgOxeXlMBy",NULL,NULL
110,0.4559,5957,94500,False,163236,1525180069660,Make sure you go out and vote today! Local elections matter just as much as our federal elections! Find your local polling place here https://t.co/clynD1cDBx #GOTV #Tennessee https://t.co/mkENs6gPdR,NULL,NULL
111,0,956,2426,False,2953,1525180070122,Nearly time to get voting #Elections2018 - here's how: https://t.co/zsuTMUgs1e,NULL,NULL
112,-0.6908,308,1971,False,6268,1525180070461,"There were *10,000 additional deaths* in the 1st 7 weeks of 2018. In England. 

The infant mortality rate is rising in the poorest families. 

We can choose to say no more to this. 

#LocalElection2018 
#LocalElections 

https://t.co/dO6DAwNlqt https://t.co/7pl5IecfVz",NULL,NULL
113,0.0516,12140,1896,True,20004,1525180071003,"Last election, Southwark Labour promised to build 11,000 council homes. Under them we’ve lost over two thousand and they’ve built less than two hundred. https://t.co/8USFI6CmxQ",NULL,NULL
